X_rms,X_mean,X_std,X_max,X_min,X_kurt,X_skew,Y_rms,Y_mean,Y_std,Y_max,Y_min,Y_kurt,Y_skew,Z_rms,Z_mean,Z_std,Z_max,Z_min,Z_kurt,Z_skew,X_fft_mean,X_fft_max,Y_fft_mean,Y_fft_max,Z_fft_mean,Z_fft_max,label
0.23528573054904967,-0.1584375,0.17394520284776468,0.24,-0.51,-0.6671007566515841,0.20924385728669834,1.1140831432168785,1.104375,0.14675527034829106,1.29,0.35,10.802651966270691,-2.87528978308219,11.72898120042828,11.728125,0.14171797477737258,11.96,11.34,-0.16656181706069217,-0.6590516844863993,1.538702176785617,10.14,3.1866631159449117,70.68,24.440512242637634,750.6,yes
0.23677850937109982,-0.16421875,0.17057627223162516,0.24,-0.43,-0.8757502199996692,0.2312481767535724,1.1691369680238497,1.1596875,0.1483447078387025,1.57,0.63,2.4081909453497046,-0.5373801415721939,11.712744060957705,11.712031249999999,0.129218561063949,11.96,11.34,-0.08661277066912554,-0.4024513234182382,1.5467746510170763,10.51,3.3956816155652043,74.22,24.297308375447024,749.5699999999999,yes
0.2224157143728833,-0.179375,0.1315042180882423,0.12,-0.43,-0.9170088720918272,-0.06328751919720987,1.1868300741892244,1.17625,0.15811882399006136,1.57,0.63,1.6012239891840707,-0.7185898757728633,11.71828892426279,11.717656250000001,0.1217674806175176,11.96,11.45,-0.44869266478415115,-0.4173902180379913,1.3029236289480353,11.48,3.4922947091122802,75.28,24.28539529827099,749.93,yes
0.20786864842972352,-0.16093749999999998,0.13156175771762096,0.12,-0.59,0.4702783193763924,-0.4377923437762995,1.182357285256872,1.178125,0.09995115994824673,1.45,0.94,0.21438427716766562,-0.019389235108358157,11.725683615465668,11.725,0.12661457262100603,12.16,11.45,1.0135973461919932,0.1957868922277499,1.236762892809291,10.3,3.0359439008429088,75.4,24.322611881663413,750.4,yes
0.19838015903814574,-0.14265624999999998,0.13785456770066598,0.16,-0.59,0.7324257182520437,-0.4438949220338982,1.1720594854784463,1.16546875,0.12412103074595174,1.45,0.71,2.1279669810172095,-0.161248102571363,11.720065726138229,11.7190625,0.15334518607947886,12.16,11.1,4.311313791984972,-0.6415977846761102,1.2405687154043026,9.13,3.207226545833575,74.59,24.55110982298448,750.02,yes
0.27891250868327866,-0.10078125,0.2600679279504443,1.65,-0.47,29.37456873995157,4.692798276785298,1.1711699545753385,1.16453125,0.12452321178574499,1.45,0.71,1.7340842564207017,-0.22866422346268198,11.69220533624859,11.6909375,0.17218012688388287,12.12,11.1,2.2410603147920627,-1.0379247552718824,2.1391157697997754,6.449999999999999,3.212676836642858,74.53,24.61062436225057,748.22,yes
0.29940827059384983,-0.11359375,0.277023054024277,1.65,-0.71,23.316043836114925,3.782854942041057,1.1866431118916925,1.1796875,0.1282937151373753,1.73,0.98,3.4487669050536267,1.288594530939742,11.685538605473006,11.6846875,0.14103378086029603,11.92,11.22,1.4885040875718953,-1.0946496968573336,2.1996464531748035,7.2700000000000005,3.290439657637755,75.5,24.36592322715129,747.8199999999999,yes
0.2346540006051463,-0.15812500000000002,0.17337527036748926,0.16,-0.71,0.47628505877772076,-0.5709315367556366,1.1766696913322787,1.16921875,0.1322084609563151,1.73,0.9,3.4104569689871234,1.1696893519674532,11.754017132453058,11.752812500000001,0.16827682503467314,12.28,11.38,2.1215107844005408,1.162477589891336,1.5717900280868342,10.120000000000001,3.29853243561686,74.83000000000001,24.64188897162408,752.1800000000001,yes
0.237736724129866,-0.16593750000000002,0.17024539962580487,0.27,-0.59,-0.0887787391014565,-0.06222827512316761,1.1663431098951973,1.159375,0.1273022363314958,1.65,0.9,1.8811724785520116,0.6718894410920803,11.774980228221192,11.7734375,0.190601176790045,12.32,11.41,1.0742674408929407,1.123257504481545,1.544859412318623,10.620000000000001,3.188159453165389,74.2,24.933817507583697,753.5,yes
0.2340205653356132,-0.168125,0.16278700616142555,0.27,-0.59,0.5391064686546034,-0.42850306935601523,1.1768111042134162,1.169375,0.13208514062906546,1.65,0.75,2.2234138434493955,0.12494726857308436,11.752290002910069,11.751093749999999,0.16767823714166813,12.36,11.38,3.5439387824994393,1.312419169212177,1.4481444238695649,10.76,3.248115750435661,74.84,24.687731335351824,752.0699999999999,yes
0.2978306985520465,-0.1834375,0.2346354802534135,0.27,-1.49,12.890187267024938,-2.6530661446588413,1.1846215112853558,1.176875,0.135252945901374,1.53,0.75,0.8616894768292243,-0.4784696173719292,11.760181559504089,11.759218749999999,0.15048156747069552,12.36,11.38,3.468891717498738,1.0363830773819043,1.9347735143865537,11.739999999999998,3.3176572463950667,75.32,24.569927008910046,752.59,yes
0.3989811242402327,-0.19609375,0.3474668023148938,0.55,-1.49,4.072026998619019,-1.6297698983311764,1.2012311392900203,1.1881249999999999,0.17696110978121718,1.61,0.82,-0.40600717673492026,-0.10798506256209972,11.74536870164151,11.74421875,0.16435294231755493,12.16,11.34,0.11711839382864353,0.02369561931530718,2.8440382984433557,12.549999999999999,3.5704288842093233,76.04,24.597212026282214,751.63,yes
